아파트ID,아파트명,지번주소,위도,경도,세대수,임대수,동수,주차대수,용적률,건폐율,건설사
271,개포럭키,서울시 강남구 도곡동 462,37.486173,127.046304,128,0,2,130,187,24,럭키개발(주)
276,개포우성4차,서울시 강남구 도곡동 465,37.485574,127.049184,459,0,8,0,149,17,우성건설(주)
294,개포우성5차,서울시 강남구 도곡동 463-1,37.486029,127.047425,180,0,4,144,179,28,우성건설(주)
304,개포한신,서울시 강남구 도곡동 464,37.486986,127.048872,620,0,8,930,145,17,한신건설(주)
3048,경남,서울시 강남구 도곡동 967,37.488679,127.040856,348,0,4,389,356,21,경남기업(주)
103960,그랜빌캐슬,서울시 강남구 도곡동 190-3,37.488801,127.044789,15,0,1,27,229,59,(주)그린종합건설
18522,극동스타클래스,서울시 강남구 도곡동 957-11,37.485197,127.036016,96,0,1,142,629,59,극동건설(주)
315,대림,서울시 강남구 도곡동 960,37.486463,127.039867,197,0,2,252,251,55,대림산업(주)
974,대림아크로빌,서울시 강남구 도곡동 467-6,37.488198,127.051147,490,0,2,1662,936,37,대림산업(주)
18975,대명비발디,서울시 강남구 도곡동 944-6,37.489067,127.03436,18,0,1,20,237,42,(주)대명건설
9808,대우양재디오빌,서울시 강남구 도곡동 952,37.486502,127.033545,155,0,1,123,882,59,(주)대우건설
134332,더힐(도시형),서울시 강남구 도곡동 413-7,37.484744,127.043447,11,0,1,5,215,49,합성공업공사
104408,도곡그린빌,서울시 강남구 도곡동 955,37.486142,127.035834,19,0,1,22,197,51,한솔건설(주)
11698,도곡렉슬,서울시 강남구 도곡동 527,37.493869,127.050945,3002,0,34,4443,274,15,GS건설(주)외2
142590,도곡루아르(도시형),서울시 강남구 도곡동 941-1,37.490065,127.034403,29,0,1,36,249,46,
3040,도곡삼성래미안,서울시 강남구 도곡동 91-5,37.489972,127.050406,732,0,10,1122,291,18,삼성물산(주)
125149,도곡상지카일룸,서울시 강남구 도곡동 202,37.487887,127.043927,23,0,1,90,199,37,(주)상지카일룸
101240,도곡스타빌,서울시 강남구 도곡동 514-3,37.484133,127.042565,15,0,1,15,249,49,(주)남성에이엔씨
129662,도곡스테이77(도시형),서울시 강남구 도곡동 957,37.485157,127.034931,77,0,1,63,481,59,이평종합건설(주)
319,도곡쌍용예가,서울시 강남구 도곡동 933,37.487588,127.038586,384,0,5,418,298,30,쌍용건설㈜
19405,도곡아이파크1차,서울시 강남구 도곡동 543-7,37.492403,127.043477,321,0,5,548,295,19,현대산업개발(주)
19635,도곡아이파크2차,서울시 강남구 도곡동 969,37.489234,127.037174,58,0,2,150,232,22,현대산업개발(주)
23149,도곡아이파크3차,서울시 강남구 도곡동 970,37.490178,127.037965,72,0,3,199,203,28,현대산업개발(주)
363,도곡우성,서울시 강남구 도곡동 934-10,37.488557,127.036956,390,0,2,468,179,13,우성건설(주)
22912,도곡월드메르디앙,서울시 강남구 도곡동 200-1,37.487026,127.043727,29,0,2,60,0,0,월드건설산업(주)
26744,도곡조이너스,서울시 강남구 도곡동 950-19,37.487154,127.035075,26,0,1,29,200,27,조이너스건설
102163,도곡지웰카운티,서울시 강남구 도곡동 199-4,37.486376,127.043599,37,0,2,63,0,0,(주)신영동성
18674,도곡푸르지오1차,서울시 강남구 도곡동 949-1,37.487904,127.033199,17,0,1,40,231,49,(주)대우건설
18686,도곡푸르지오2차,서울시 강남구 도곡동 949-2,37.487821,127.032884,13,0,1,79,730,58,(주)대우건설
23152,도곡하이빌,서울시 강남구 도곡동 919-3,37.485913,127.03759,12,0,1,20,237,48,토성종합건설(주)
109559,도곡한라비발디,서울시 강남구 도곡동 972,37.487738,127.039274,110,0,1,156,249,25,주식회사한라
408,도곡한신,서울시 강남구 도곡동 895-8,37.487685,127.040609,421,0,5,0,212,16,한신공영(주)
13445,도곡현대하이페리온,서울시 강남구 도곡동 968,37.488775,127.03502,71,0,2,188,245,22,현대건설(주)
15133,도곡현대힐스테이트,서울시 강남구 도곡동 183,37.487835,127.045672,57,0,4,91,0,0,현대건설(주)
23048,동연빌,서울시 강남구 도곡동 895-4,37.489016,127.040218,18,0,1,9,296,59,황해건설
128403,라온빌(도시형),서울시 강남구 도곡동 552-17,37.490438,127.036289,11,0,1,4,150,49,야촌주택건설(주)
100559,래미안도곡카운티,서울시 강남구 도곡동 538-3,37.495144,127.051069,397,14,8,510,261,20,삼성물산(주)
101883,로덴하우스웨스트빌리지,서울시 강남구 도곡동 462-2,37.485462,127.046472,19,0,1,74,248,18,계룡건설산업(주)
101878,로덴하우스이스트빌리지,서울시 강남구 도곡동 462-1,37.485699,127.046774,33,0,1,124,249,18,계룡건설산업(주)
9869,롯데캐슬모닝,서울시 강남구 도곡동 551-28,37.490231,127.036776,60,0,2,128,295,35,롯데건설(주)
102212,리치아르떼빌,서울시 강남구 도곡동 194,37.486451,127.043994,11,0,1,24,227,46,인랜드종합건설(주)
334,매봉,서울시 강남구 도곡동 966,37.489193,127.04872,132,0,1,132,386,0,삼성중공업
104016,벨라빌,서울시 강남구 도곡동 193-42,37.486672,127.044534,13,0,1,40,245,47,근양종합건설(주)
3049,삼성,서울시 강남구 도곡동 161,37.488551,127.046667,231,0,4,208,139,16,삼성건설주식회사
339,삼익,서울시 강남구 도곡동 869,37.49111,127.04227,247,0,2,272,177,15,삼익주택
342,삼호,서울시 강남구 도곡동 540,37.493567,127.045848,144,0,2,144,169,16,삼호
16293,신성빌리지,서울시 강남구 도곡동 193-23,37.487213,127.044538,16,0,2,20,85,21,(주)스페이스
9218,아카데미스위트,서울시 강남구 도곡동 467-7,37.488828,127.051585,414,0,1,808,996,42,라성건설(주)
13237,양재SK허브프리모,서울시 강남구 도곡동 953-1,37.485301,127.034443,176,0,1,261,629,55,SK건설(주)
329,역삼럭키,서울시 강남구 도곡동 963,37.49061,127.040187,1094,0,10,1077,248,18,엘지건설(주)
9120,우성리빙텔,서울시 강남구 도곡동 467-10,37.488413,127.052653,39,0,1,52,853,59,(주)우성종합건설
373,우성캐릭터199,서울시 강남구 도곡동 467-24,37.486489,127.051965,199,0,2,902,620,55,우성건설(주)
975,우성캐릭터빌,서울시 강남구 도곡동 467-18,37.487058,127.051121,47,0,1,211,853,58,주식회사 우성건설
13077,울트라멤버스,서울시 강남구 도곡동 162-4,37.487689,127.046658,19,0,1,40,296,51,울트라건설(주)
18981,원팰리스,서울시 강남구 도곡동 952-14,37.486226,127.034046,19,0,1,21,260,49,예당종합건설(주)
102822,이니그마빌Ⅲ,서울시 강남구 도곡동 201,37.487411,127.043416,14,0,1,46,226,35,한솔건설(주)
825,중명하니빌,서울시 강남구 도곡동 965,37.485888,127.038958,111,0,1,59,251,44,
3038,타워팰리스1차,서울시 강남구 도곡동 467,37.488556,127.054664,1294,0,4,3695,919,49,삼성물산(주)
